row_letter,row_number,column_number,label,lysate,master_mix,exp_id,plate_id,plate_reader,reaction_volume,plate_type,plasmid_mid,template,standard_curve_lot,gain,test_condition,operator,vessel,product,well,measurement,key,concentration,dilution,calculated_concentration,final_concentration_with_dilution
A,1,1,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Premium,A1,1081,Greiner_Premium,0,200,10.1295,2025.8947
A,1,2,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Premium,A2,1054,Greiner_Premium,0,200,9.8882,1977.6458
A,1,3,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Economy,A3,1141,Greiner_Economy,0,200,10.6656,2133.1145
A,1,4,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Economy,A4,753,Greiner_Economy,0,200,7.1988,1439.7595
A,1,5,,12-L,MMA_7,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,control,A5,735,Greiner_control,0,200,7.038,1407.5935
A,1,6,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Ready96,A6,824,Greiner_Ready96,0,200,7.8332,1566.6363
A,1,7,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Ready96,A7,687,Greiner_Ready96,0,200,6.6091,1321.8176
A,1,8,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Premium,A8,1525,Tube_Premium,0,200,14.0966,2819.3216
A,1,9,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Economy,A9,1687,Tube_Economy,0,200,15.5441,3108.8152
A,1,10,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,A10,22,,0,1,0.6673,0.6673
A,1,11,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Premium,A11,506,Greiner_Premium,0,400,4.9919,1996.7422
A,1,12,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Premium,A12,533,Greiner_Premium,0,400,5.2331,2093.24
A,1,13,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Economy,A13,546,Greiner_Economy,0,400,5.3493,2139.702
A,1,14,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Economy,A14,354,Greiner_Economy,0,400,3.6337,1453.4949
