WELL,MEASUREMENT,ROW_LETTER,ROW_NUMBER,COLUMN_NUMBER,LABEL,KEY,LYSATE,MASTER_MIX,CONCENTRATION,DILUTION,EXP_ID,PLATE_ID,PLATE_READER,REACTION_VOLUME,PLATE_TYPE,PLASMID_MID,TEMPLATE,STANDARD_CURVE_LOT,GAIN,TEST_CONDITION,OPERATOR,VESSEL,PRODUCT,CALCULATED_CONCENTRATION,FINAL_CONCENTRATION_WITH_DILUTION
A1,205.0,A,1,1,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.12107327502080900,1648.42931000832350
A2,180.0,A,1,2,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,3.60599885389530560,1442.39954155812230
A3,194.0,A,1,3,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,3.89444052972558770,1557.77621189023510
A4,192.0,A,1,4,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,3.85323457603554730,1541.29383041421900
A5,199.0,A,1,5,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,3.99745541395068840,1598.98216558027530
A6,207.0,A,1,6,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.16227922871084900,1664.91169148433960
A7,194.0,A,1,7,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,3.89444052972558770,1557.77621189023510
A8,246.0,A,1,8,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.96579532566663400,1986.31813026665370
A9,239.0,A,1,9,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.82157448775149300,1928.62979510059740
A10,244.0,A,1,10,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.92458937197659400,1969.83574879063740
A11,225.0,A,1,11,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.53313281192121100,1813.25312476848440
A12,237.0,A,1,12,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.78036853406145300,1912.14741362458130
A13,223.0,A,1,13,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.49192685823117100,1796.77074329246830
A14,231.0,A,1,14,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.65675067299133300,1862.70026919653300
A15,267.0,A,1,15,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,5.39845783941205700,2159.38313576482300
