EXP_ID,LYSATE_LOT,WELL,TIME,MEASUREMENT,MGGLU,KGLU
E245,25-L,A1,00:00:00,3831,0,100
E245,25-L,A2,00:00:00,4516,0,120
E245,25-L,A3,00:00:00,4099,0,140
E245,25-L,A4,00:00:00,4610,0,160
E245,25-L,A5,00:00:00,4339,0,180
E245,25-L,A6,00:00:00,4271,0,200
E245,25-L,A7,00:00:00,4309,0,220
E245,25-L,A8,00:00:00,4359,0,240
E245,25-L,A9,00:00:00,4291,0,260
E245,25-L,A10,00:00:00,4330,0,280
E245,25-L,A11,00:00:00,4304,0,300
E245,25-L,A12,00:00:00,4325,0,320
E245,25-L,A13,00:00:00,4197,0,340
E245,25-L,A14,00:00:00,4404,0,360
E245,25-L,A15,00:00:00,4354,0,380
E245,25-L,A16,00:00:00,4188,0,400
E245,25-L,A17,00:00:00,4116,0,440
E245,25-L,A18,00:00:00,4215,0,260
E245,25-L,A19,00:00:00,4212,0,280
E245,25-L,A20,00:00:00,4116,0,300
E245,25-L,A21,00:00:00,3927,0,320
E245,25-L,A22,00:00:00,4072,0,340
E245,25-L,A23,00:00:00,1328,0,0
E245,25-L,A24,00:00:00,1347,0,0
E245,25-L,B1,00:00:00,3915,2,100
E245,25-L,B2,00:00:00,3866,2,120
E245,25-L,B3,00:00:00,4510,2,140
E245,25-L,B4,00:00:00,3985,2,160
E245,25-L,B5,00:00:00,4110,2,180
E245,25-L,B6,00:00:00,4024,2,200
E245,25-L,B7,00:00:00,4613,2,220
E245,25-L,B8,00:00:00,4567,2,240
E245,25-L,B9,00:00:00,4682,2,260
E245,25-L,B10,00:00:00,4429,2,280
E245,25-L,B11,00:00:00,4778,2,300
E245,25-L,B12,00:00:00,4204,2,320
E245,25-L,B13,00:00:00,4738,2,340
E245,25-L,B14,00:00:00,4080,2,360
E245,25-L,B15,00:00:00,4763,2,380
E245,25-L,B16,00:00:00,4387,2,400
E245,25-L,B17,00:00:00,4755,2,440
E245,25-L,B18,00:00:00,4423,2,260
E245,25-L,B19,00:00:00,4667,2,280
E245,25-L,B20,00:00:00,4291,2,300
E245,25-L,B21,00:00:00,4324,2,320
E245,25-L,B22,00:00:00,4296,2,340
E245,25-L,B23,00:00:00,1376,0,0
E245,25-L,B24,00:00:00,1369,0,0
E245,25-L,C1,00:00:00,4045,3,100
E245,25-L,C2,00:00:00,4055,3,120
E245,25-L,C3,00:00:00,4120,3,140
E245,25-L,C4,00:00:00,4193,3,160
E245,25-L,C5,00:00:00,4050,3,180
E245,25-L,C6,00:00:00,4533,3,200
E245,25-L,C7,00:00:00,4445,3,220
E245,25-L,C8,00:00:00,4448,3,240
E245,25-L,C9,00:00:00,4492,3,260
E245,25-L,C10,00:00:00,4581,3,280
E245,25-L,C11,00:00:00,4455,3,300
E245,25-L,C12,00:00:00,4471,3,320
E245,25-L,C13,00:00:00,4681,3,340
E245,25-L,C14,00:00:00,4769,3,360
E245,25-L,C15,00:00:00,4747,3,380
E245,25-L,C16,00:00:00,4701,3,400
E245,25-L,C17,00:00:00,4730,3,440
E245,25-L,C18,00:00:00,4469,3,260
E245,25-L,C19,00:00:00,4583,3,280
E245,25-L,C20,00:00:00,4527,3,300
E245,25-L,C21,00:00:00,4323,3,320
E245,25-L,C22,00:00:00,4536,3,340
E245,25-L,C23,00:00:00,1366,0,0
E245,25-L,C24,00:00:00,1349,0,0
E245,25-L,D1,00:00:00,3982,4,100
E245,25-L,D2,00:00:00,4186,4,120
E245,25-L,D3,00:00:00,4375,4,140
E245,25-L,D4,00:00:00,4298,4,160
E245,25-L,D5,00:00:00,4366,4,180
E245,25-L,D6,00:00:00,4546,4,200
E245,25-L,D7,00:00:00,4298,4,220
E245,25-L,D8,00:00:00,4519,4,240
E245,25-L,D9,00:00:00,4398,4,260
E245,25-L,D10,00:00:00,4523,4,280
E245,25-L,D11,00:00:00,4500,4,300
E245,25-L,D12,00:00:00,4557,4,320
E245,25-L,D13,00:00:00,4622,4,340
E245,25-L,D14,00:00:00,4655,4,360
E245,25-L,D15,00:00:00,4616,4,380
E245,25-L,D16,00:00:00,4870,4,400
E245,25-L,D17,00:00:00,4586,4,440
E245,25-L,D18,00:00:00,4489,4,260
E245,25-L,D19,00:00:00,4485,4,280
E245,25-L,D20,00:00:00,4391,4,300
E245,25-L,D21,00:00:00,4570,4,320
E245,25-L,D22,00:00:00,4314,4,340
E245,25-L,D23,00:00:00,1325,0,0
E245,25-L,D24,00:00:00,1343,0,0
E245,25-L,A1,00:10:00,2407,0,100
E245,25-L,A2,00:10:00,2624,0,120
E245,25-L,A3,00:10:00,2953,0,140
E245,25-L,A4,00:10:00,2776,0,160
E245,25-L,A5,00:10:00,2783,0,180
E245,25-L,A6,00:10:00,2656,0,200
E245,25-L,A7,00:10:00,2872,0,220
E245,25-L,A8,00:10:00,2820,0,240
E245,25-L,A9,00:10:00,2856,0,260
E245,25-L,A10,00:10:00,2819,0,280
E245,25-L,A11,00:10:00,2942,0,300
E245,25-L,A12,00:10:00,3028,0,320
E245,25-L,A13,00:10:00,2877,0,340
E245,25-L,A14,00:10:00,3002,0,360
E245,25-L,A15,00:10:00,2873,0,380
E245,25-L,A16,00:10:00,3105,0,400
E245,25-L,A17,00:10:00,2999,0,440
E245,25-L,A18,00:10:00,3228,0,260
E245,25-L,A19,00:10:00,3050,0,280
E245,25-L,A20,00:10:00,3430,0,300
E245,25-L,A21,00:10:00,3205,0,320
E245,25-L,A22,00:10:00,3421,0,340
E245,25-L,A23,00:10:00,1323,0,0
E245,25-L,A24,00:10:00,1310,0,0
E245,25-L,B1,00:10:00,2846,2,100
E245,25-L,B2,00:10:00,2603,2,120
E245,25-L,B3,00:10:00,2537,2,140
E245,25-L,B4,00:10:00,2631,2,160
E245,25-L,B5,00:10:00,2868,2,180
E245,25-L,B6,00:10:00,3521,2,200
E245,25-L,B7,00:10:00,4614,2,220
E245,25-L,B8,00:10:00,4670,2,240
E245,25-L,B9,00:10:00,5985,2,260
E245,25-L,B10,00:10:00,3445,2,280
E245,25-L,B11,00:10:00,5733,2,300
E245,25-L,B12,00:10:00,3750,2,320
E245,25-L,B13,00:10:00,5690,2,340
E245,25-L,B14,00:10:00,3495,2,360
E245,25-L,B15,00:10:00,4971,2,380
E245,25-L,B16,00:10:00,3320,2,400
E245,25-L,B17,00:10:00,4252,2,440
E245,25-L,B18,00:10:00,3534,2,260
E245,25-L,B19,00:10:00,5309,2,280
E245,25-L,B20,00:10:00,3916,2,300
E245,25-L,B21,00:10:00,5976,2,320
E245,25-L,B22,00:10:00,4263,2,340
E245,25-L,B23,00:10:00,1326,0,0
E245,25-L,B24,00:10:00,1360,0,0
E245,25-L,C1,00:10:00,5398,3,100
E245,25-L,C2,00:10:00,2528,3,120
E245,25-L,C3,00:10:00,5176,3,140
E245,25-L,C4,00:10:00,4547,3,160
E245,25-L,C5,00:10:00,5621,3,180
E245,25-L,C6,00:10:00,8637,3,200
E245,25-L,C7,00:10:00,9398,3,220
E245,25-L,C8,00:10:00,9587,3,240
E245,25-L,C9,00:10:00,8677,3,260
E245,25-L,C10,00:10:00,8613,3,280
E245,25-L,C11,00:10:00,8191,3,300
E245,25-L,C12,00:10:00,6567,3,320
E245,25-L,C13,00:10:00,6997,3,340
E245,25-L,C14,00:10:00,5895,3,360
E245,25-L,C15,00:10:00,5243,3,380
E245,25-L,C16,00:10:00,5248,3,400
E245,25-L,C17,00:10:00,4865,3,440
E245,25-L,C18,00:10:00,7996,3,260
E245,25-L,C19,00:10:00,7530,3,280
E245,25-L,C20,00:10:00,7776,3,300
E245,25-L,C21,00:10:00,7211,3,320
E245,25-L,C22,00:10:00,6998,3,340
E245,25-L,C23,00:10:00,1299,0,0
E245,25-L,C24,00:10:00,1321,0,0
E245,25-L,D1,00:10:00,7323,4,100
E245,25-L,D2,00:10:00,5211,4,120
E245,25-L,D3,00:10:00,6635,4,140
E245,25-L,D4,00:10:00,10624,4,160
E245,25-L,D5,00:10:00,10601,4,180
E245,25-L,D6,00:10:00,12862,4,200
E245,25-L,D7,00:10:00,11171,4,220
E245,25-L,D8,00:10:00,12115,4,240
E245,25-L,D9,00:10:00,10248,4,260
E245,25-L,D10,00:10:00,10941,4,280
E245,25-L,D11,00:10:00,8342,4,300
E245,25-L,D12,00:10:00,8200,4,320
E245,25-L,D13,00:10:00,7598,4,340
E245,25-L,D14,00:10:00,6734,4,360
E245,25-L,D15,00:10:00,5688,4,380
E245,25-L,D16,00:10:00,5176,4,400
E245,25-L,D17,00:10:00,4435,4,440
E245,25-L,D18,00:10:00,9840,4,260
E245,25-L,D19,00:10:00,8335,4,280
E245,25-L,D20,00:10:00,7860,4,300
E245,25-L,D21,00:10:00,7978,4,320
E245,25-L,D22,00:10:00,6342,4,340
E245,25-L,D23,00:10:00,1303,0,0
E245,25-L,D24,00:10:00,1332,0,0
E245,25-L,A1,00:20:00,2013,0,100
E245,25-L,A2,00:20:00,2246,0,120
E245,25-L,A3,00:20:00,2340,0,140
E245,25-L,A4,00:20:00,2627,0,160
E245,25-L,A5,00:20:00,2284,0,180
E245,25-L,A6,00:20:00,2194,0,200
E245,25-L,A7,00:20:00,2315,0,220
E245,25-L,A8,00:20:00,2372,0,240
E245,25-L,A9,00:20:00,2337,0,260
E245,25-L,A10,00:20:00,2475,0,280
E245,25-L,A11,00:20:00,2370,0,300
E245,25-L,A12,00:20:00,3078,0,320
E245,25-L,A13,00:20:00,2548,0,340
E245,25-L,A14,00:20:00,3173,0,360
E245,25-L,A15,00:20:00,2629,0,380
E245,25-L,A16,00:20:00,3386,0,400
E245,25-L,A17,00:20:00,2664,0,440
E245,25-L,A18,00:20:00,5219,0,260
E245,25-L,A19,00:20:00,2455,0,280
E245,25-L,A20,00:20:00,7450,0,300
E245,25-L,A21,00:20:00,4654,0,320
E245,25-L,A22,00:20:00,9466,0,340
E245,25-L,A23,00:20:00,1308,0,0
E245,25-L,A24,00:20:00,1315,0,0
E245,25-L,B1,00:20:00,8647,2,100
E245,25-L,B2,00:20:00,8870,2,120
E245,25-L,B3,00:20:00,13151,2,140
E245,25-L,B4,00:20:00,13672,2,160
E245,25-L,B5,00:20:00,24176,2,180
E245,25-L,B6,00:20:00,21828,2,200
E245,25-L,B7,00:20:00,27302,2,220
E245,25-L,B8,00:20:00,34360,2,240
E245,25-L,B9,00:20:00,47066,2,260
E245,25-L,B10,00:20:00,25553,2,280
E245,25-L,B11,00:20:00,46109,2,300
E245,25-L,B12,00:20:00,28421,2,320
E245,25-L,B13,00:20:00,46119,2,340
E245,25-L,B14,00:20:00,19148,2,360
E245,25-L,B15,00:20:00,35041,2,380
E245,25-L,B16,00:20:00,17585,2,400
E245,25-L,B17,00:20:00,20185,2,440
E245,25-L,B18,00:20:00,30546,2,260
E245,25-L,B19,00:20:00,53750,2,280
E245,25-L,B20,00:20:00,34179,2,300
