num,date_of_prep_yyyymmdd,operator,eln,test_experiment,sop__planning_gsheet,fluorescence_protein,aliquot_volume,total_nº_of_pcr_strips_1_strip_=_1_std_curve,qc_-_r2,slope,y-_intercept,storage_location,range,comments,unnamed:_15
1,20251008,Person 6,ELN,,,eGFP,50,8,0.998,3671,2769,P902 -80 Freezer space,0-32,,
2,20251008,Person 6,ELN,,,sfGFP,50,7,0.993,,,P902 -80 Freezer space,,,
3,20251008,Person 2,ELN,,,eGFP,50,8,0.999,4400,969,P902 -80 Freezer space,0-32,,
4,20251008,Person 2,ELN,,,sfGFP,50,8,0.996,,,P902 -80 Freezer space,,,
5,20251105,Person 6,ELN,,,eGFP,30,28,,,,,0-16,Curve failed QC,
6,20251110,Person 6,,,P902-Standard curve preparation,eGFP,30,4,0.997,0.0294,1.3,P902 -80 Freezer space,0-115.2,,
7,20251111,Person 6,,,P902-Standard curve preparation,eGFP,30,10,0.999,0.025,1.62,P902 -80 Freezer space,0-113.28,,plotted fluorescence on X-axis and concentration on Y-axis
8,20251118,Person 6,,,P902-Standard curve preparation,eGFP,30,8,0.998,0.0259,2.38,P902 -80 Freezer space,0-114.432,,plotted fluorescence on X-axis and concentration on Y-axis
9,20251203,Person 2,,,,eGFP,30,7,0.999,34.21,-52.37,P902 -80 Freezer space,1-128,used intermittently for linear DNA tests,plotted fluorescence on y-axis and concentration on x-axis
10,20251203,Person 2,,,,sfGFP,30,10,0.999,52.19,-16.17,P902 -80 Freezer space,1-128,Plasmid DNA based Abs Quant uses sfGFP instead of eGFP now,plotted fluorescence on y-axis and concentration on x-axis
11,20250203,Person 2,,,,sfGFP,35,13,0.99,0.02,0.52,P902 -80 Freezer space,1-128,Plasmid DNA based Abs Quant uses sfGFP instead of eGFP now,plotted fluorescence on X-axis and concentration on Y-axis
12,20250310,Person 6,,E208,P902_E208-QC-20260309-Preparation of sfGFP standard curve,sfGFP,35,17,0.9921,0.0213,0.4826,"P902 -80 Big Freezer space, Miscellaneous drawer",1-128,,plotted fluorescence on X-axis and concentration on Y-axis
13,,,,,,,,,,,,,,,
